#Compilation of BAO results
#-1 used where measurement doesn't exist
#rsEH is binary to denote whether Eisenstein & Hu 1998 was used for rs or not
#year, ref, label, zeff, dvrs, sigdv, dmrs, sigdm, hrs, sigh, omfid, hfid, omb2fid, rsEH
2009,Percival,DR7Per,0.275,7.19,0.20,-1,-1,-1,-1,0.256,0.72,0.02273,1
2011,Beutler,6dFGS,0.106,2.976,0.133,-1,-1,-1,-1,0.27,0.7,0.02227,1
2011,Blake,Wznorec,0.6,14.25,0.65,-1,-1,-1,-1,0.27,.71,.0226,1
2012,Padmanabhan,DR7rec,0.35,8.88,0.17,-1,-1,-1,-1,0.274,0.702,0.02252,1
2014,Kazin,Wzrec1,0.44,11.55,0.56,-1,-1,-1,-1,0.27,.71,.0226,0
2014,Kazin,Wzrec2,0.6,14.95,0.68,-1,-1,-1,-1,0.27,.71,.0226,0
2014,Kazin,Wzrec3,0.73,16.93,0.58,-1,-1,-1,-1,0.27,.71,.0226,0
2014,Anderson,BOSSCMDR11,0.57,13.77,0.13,9.52,0.14,14450,508,0.274,0.7,0.0224,0
2014,Anderson,BOSSLZDR11,0.32,8.47,0.17,-1,-1,-1,-1,0.274,0.7,0.0224,0
2015,Ross,MGS,0.15,4.47,0.17,-1,-1,-1,-1,0.31,0.67,0.02155,0
2016,Alam,BOSSDR12_1,0.38,9.99,0.11,10.23,0.15,11999.,325.,0.31,0.676,0.022,0
2016,Alam,BOSSDR12_2,0.51,12.70,0.13,13.36,0.18,13433.,310.,0.31,0.676,0.022,0
2016,Alam,BOSSDR12_3,0.61,14.48,0.15,15.61,0.22,14630.,325.,0.31,0.676,0.022,0
2017,Bautista,LyADR12,2.33,32.2,0.81,37.77,2.13,9.07,0.31,0.3147,0.6731,0.02222,0
2017,Ata,QSODR14,1.52,26.0,1.0,-1,-1,-1,-1,0.31,0.676,0.022,0
2017,Bautista,LRGDR14,0.72,15.92,0.42,-1,-1,-1,-1,0.31,0.676,0.022,0
